5.21514e-05 1.87511e-22  -1.87510e-22 0.00000e+00 
5.22876e-05 1.88489e-22  -1.88488e-22 0.00000e+00 
5.24238e-05 1.89470e-22  -1.89469e-22 0.00000e+00 
5.25599e-05 1.90454e-22  -1.90453e-22 0.00000e+00 
5.26961e-05 1.91440e-22  -1.91439e-22 0.00000e+00 
5.28323e-05 1.92429e-22  -1.92428e-22 0.00000e+00 
5.29684e-05 1.93421e-22  -1.93419e-22 0.00000e+00 
5.31046e-05 1.94414e-22  -1.94413e-22 0.00000e+00 
5.32408e-05 1.95410e-22  -1.95409e-22 0.00000e+00 
5.33769e-05 1.96409e-22  -1.96407e-22 0.00000e+00 
5.35131e-05 1.97409e-22  -1.97408e-22 0.00000e+00 
5.36493e-05 1.98411e-22  -1.98410e-22 0.00000e+00 
5.37854e-05 1.99416e-22  -1.99414e-22 0.00000e+00 
5.39216e-05 2.00422e-22  -2.00421e-22 0.00000e+00 
5.40578e-05 2.01432e-22  -2.01431e-22 0.00000e+00 
5.41939e-05 2.02445e-22  -2.02443e-22 0.00000e+00 
5.43301e-05 2.03460e-22  -2.03458e-22 0.00000e+00 
5.44663e-05 2.04477e-22  -2.04476e-22 0.00000e+00 
5.46024e-05 2.05497e-22  -2.05496e-22 0.00000e+00 
5.47386e-05 2.06520e-22  -2.06519e-22 0.00000e+00 
5.48747e-05 2.07545e-22  -2.07544e-22 0.00000e+00 
5.50109e-05 2.08574e-22  -2.08572e-22 0.00000e+00 
5.51471e-05 2.09604e-22  -2.09603e-22 0.00000e+00 
5.52832e-05 2.10638e-22  -2.10636e-22 0.00000e+00 
5.54194e-05 2.11674e-22  -2.11672e-22 0.00000e+00 
5.55556e-05 2.12712e-22  -2.12711e-22 0.00000e+00 
5.56917e-05 2.13754e-22  -2.13753e-22 0.00000e+00 
5.58279e-05 2.14799e-22  -2.14797e-22 0.00000e+00 
5.59641e-05 2.15845e-22  -2.15844e-22 0.00000e+00 
