7.89937e-06 2.35382e-03  5.34786e-13 0.00000e+00 
2.25132e-03 1.41396e+11  -1.41393e+11 0.00000e+00 
2.25922e-03 1.44393e+11  -1.44389e+11 0.00000e+00 
2.26712e-03 1.47443e+11  -1.47439e+11 0.00000e+00 
2.27502e-03 1.50546e+11  -1.50542e+11 0.00000e+00 
2.28292e-03 1.53703e+11  -1.53699e+11 0.00000e+00 
2.29082e-03 1.56916e+11  -1.56911e+11 0.00000e+00 
2.29872e-03 1.60184e+11  -1.60179e+11 0.00000e+00 
2.30662e-03 1.63508e+11  -1.63504e+11 0.00000e+00 
2.31451e-03 1.66890e+11  -1.66886e+11 0.00000e+00 
2.32241e-03 1.70330e+11  -1.70325e+11 0.00000e+00 
2.33031e-03 1.73829e+11  -1.73824e+11 0.00000e+00 
2.33821e-03 1.77387e+11  -1.77383e+11 0.00000e+00 
2.34611e-03 1.81006e+11  -1.81002e+11 0.00000e+00 
2.35401e-03 1.84686e+11  -1.84682e+11 0.00000e+00 
2.36191e-03 1.88429e+11  -1.88424e+11 0.00000e+00 
2.36981e-03 1.92234e+11  -1.92229e+11 0.00000e+00 
2.37771e-03 1.96103e+11  -1.96099e+11 0.00000e+00 
2.38561e-03 2.00037e+11  -2.00032e+11 0.00000e+00 
2.39351e-03 2.04037e+11  -2.04032e+11 0.00000e+00 
2.40141e-03 2.08103e+11  -2.08098e+11 0.00000e+00 
2.40931e-03 2.12236e+11  -2.12231e+11 0.00000e+00 
2.41721e-03 2.16437e+11  -2.16432e+11 0.00000e+00 
2.42511e-03 2.20707e+11  -2.20702e+11 0.00000e+00 
2.43301e-03 2.25048e+11  -2.25042e+11 0.00000e+00 
2.44090e-03 2.29459e+11  -2.29453e+11 0.00000e+00 
2.44880e-03 2.33942e+11  -2.33936e+11 0.00000e+00 
2.45670e-03 2.38498e+11  -2.38492e+11 0.00000e+00 
2.46460e-03 2.43127e+11  -2.43122e+11 0.00000e+00 
2.47250e-03 2.47831e+11  -2.47826e+11 0.00000e+00 
2.48040e-03 2.52611e+11  -2.52605e+11 0.00000e+00 
2.48830e-03 2.57467e+11  -2.57461e+11 0.00000e+00 
2.49620e-03 2.62401e+11  -2.62395e+11 0.00000e+00 
2.50410e-03 2.67413e+11  -2.67407e+11 0.00000e+00 
2.51200e-03 2.72505e+11  -2.72499e+11 0.00000e+00 
2.51990e-03 2.77677e+11  -2.77671e+11 0.00000e+00 
2.52780e-03 2.82931e+11  -2.82925e+11 0.00000e+00 
2.53570e-03 2.88268e+11  -2.88262e+11 0.00000e+00 
2.54360e-03 2.93688e+11  -2.93682e+11 0.00000e+00 
2.55150e-03 2.99193e+11  -2.99186e+11 0.00000e+00 
2.55939e-03 3.04783e+11  -3.04777e+11 0.00000e+00 
2.56729e-03 3.10460e+11  -3.10454e+11 0.00000e+00 
2.57519e-03 3.16225e+11  -3.16219e+11 0.00000e+00 
2.58309e-03 3.22079e+11  -3.22073e+11 0.00000e+00 
2.59099e-03 3.28023e+11  -3.28017e+11 0.00000e+00 
2.59889e-03 3.34059e+11  -3.34052e+11 0.00000e+00 
2.60679e-03 3.40186e+11  -3.40179e+11 0.00000e+00 
2.61469e-03 3.46407e+11  -3.46400e+11 0.00000e+00 
2.62259e-03 3.52722e+11  -3.52715e+11 0.00000e+00 
2.63049e-03 3.59133e+11  -3.59125e+11 0.00000e+00 
2.63839e-03 3.65640e+11  -3.65633e+11 0.00000e+00 
2.64629e-03 3.72246e+11  -3.72238e+11 0.00000e+00 
2.65419e-03 3.78951e+11  -3.78943e+11 0.00000e+00 
2.66209e-03 3.85756e+11  -3.85748e+11 0.00000e+00 
2.66999e-03 3.92662e+11  -3.92655e+11 0.00000e+00 
2.67789e-03 3.99672e+11  -3.99664e+11 0.00000e+00 
2.68578e-03 4.06785e+11  -4.06777e+11 0.00000e+00 
2.69368e-03 4.14003e+11  -4.13995e+11 0.00000e+00 
2.70158e-03 4.21328e+11  -4.21320e+11 0.00000e+00 
2.70948e-03 4.28761e+11  -4.28752e+11 0.00000e+00 
2.71738e-03 4.36302e+11  -4.36294e+11 0.00000e+00 
2.72528e-03 4.43954e+11  -4.43945e+11 0.00000e+00 
2.73318e-03 4.51717e+11  -4.51708e+11 0.00000e+00 
2.74108e-03 4.59593e+11  -4.59584e+11 0.00000e+00 
2.74898e-03 4.67583e+11  -4.67574e+11 0.00000e+00 
2.75688e-03 4.75688e+11  -4.75679e+11 0.00000e+00 
2.76478e-03 4.83910e+11  -4.83901e+11 0.00000e+00 
2.77268e-03 4.92250e+11  -4.92241e+11 0.00000e+00 
2.78058e-03 5.00710e+11  -5.00701e+11 0.00000e+00 
2.78848e-03 5.09290e+11  -5.09281e+11 0.00000e+00 
2.79638e-03 5.17993e+11  -5.17984e+11 0.00000e+00 
2.80428e-03 5.26819e+11  -5.26810e+11 0.00000e+00 
2.81217e-03 5.35770e+11  -5.35761e+11 0.00000e+00 
2.82007e-03 5.44848e+11  -5.44838e+11 0.00000e+00 
2.82797e-03 5.54053e+11  -5.54043e+11 0.00000e+00 
2.83587e-03 5.63387e+11  -5.63377e+11 0.00000e+00 
2.84377e-03 5.72852e+11  -5.72842e+11 0.00000e+00 
2.85167e-03 5.82450e+11  -5.82440e+11 0.00000e+00 
2.85957e-03 5.92180e+11  -5.92170e+11 0.00000e+00 
2.86747e-03 6.02046e+11  -6.02036e+11 0.00000e+00 
2.87537e-03 6.12049e+11  -6.12039e+11 0.00000e+00 
2.88327e-03 6.22189e+11  -6.22179e+11 0.00000e+00 
2.89117e-03 6.32470e+11  -6.32459e+11 0.00000e+00 
2.89907e-03 6.42891e+11  -6.42880e+11 0.00000e+00 
2.90697e-03 6.53455e+11  -6.53444e+11 0.00000e+00 
2.91487e-03 6.64163e+11  -6.64152e+11 0.00000e+00 
2.92277e-03 6.75017e+11  -6.75006e+11 0.00000e+00 
2.93067e-03 6.86019e+11  -6.86008e+11 0.00000e+00 
2.93856e-03 6.97169e+11  -6.97158e+11 0.00000e+00 
2.94646e-03 7.08470e+11  -7.08459e+11 0.00000e+00 
2.95436e-03 7.19924e+11  -7.19912e+11 0.00000e+00 
2.96226e-03 7.31531e+11  -7.31519e+11 0.00000e+00 
2.97016e-03 7.43293e+11  -7.43282e+11 0.00000e+00 
2.97806e-03 7.55213e+11  -7.55201e+11 0.00000e+00 
2.98596e-03 7.67292e+11  -7.67280e+11 0.00000e+00 
2.99386e-03 7.79531e+11  -7.79519e+11 0.00000e+00 
3.00176e-03 7.91932e+11  -7.91920e+11 0.00000e+00 
3.00966e-03 8.04498e+11  -8.04485e+11 0.00000e+00 
3.01756e-03 8.17229e+11  -8.17216e+11 0.00000e+00 
3.02546e-03 8.30127e+11  -8.30115e+11 0.00000e+00 
3.03336e-03 8.43195e+11  -8.43182e+11 0.00000e+00 
3.04126e-03 8.56434e+11  -8.56421e+11 0.00000e+00 
3.04916e-03 8.69845e+11  -8.69832e+11 0.00000e+00 
3.05706e-03 8.83431e+11  -8.83418e+11 0.00000e+00 
3.06495e-03 8.97193e+11  -8.97180e+11 0.00000e+00 
3.07285e-03 9.11133e+11  -9.11120e+11 0.00000e+00 
3.08075e-03 9.25254e+11  -9.25240e+11 0.00000e+00 
3.08865e-03 9.39556e+11  -9.39542e+11 0.00000e+00 
3.09655e-03 9.54042e+11  -9.54028e+11 0.00000e+00 
3.10445e-03 9.68714e+11  -9.68700e+11 0.00000e+00 
3.11235e-03 9.83573e+11  -9.83559e+11 0.00000e+00 
3.12025e-03 9.98621e+11  -9.98607e+11 0.00000e+00 
3.12815e-03 1.01386e+12  -1.01385e+12 0.00000e+00 
3.13605e-03 1.02929e+12  -1.02928e+12 0.00000e+00 
3.14395e-03 1.04492e+12  -1.04491e+12 0.00000e+00 
3.15185e-03 1.06075e+12  -1.06073e+12 0.00000e+00 
3.15975e-03 1.07677e+12  -1.07676e+12 0.00000e+00 
3.16765e-03 1.09300e+12  -1.09298e+12 0.00000e+00 
3.17555e-03 1.10943e+12  -1.10941e+12 0.00000e+00 
3.18344e-03 1.12606e+12  -1.12605e+12 0.00000e+00 
3.19134e-03 1.14291e+12  -1.14289e+12 0.00000e+00 
3.19924e-03 1.15996e+12  -1.15994e+12 0.00000e+00 
3.20714e-03 1.17722e+12  -1.17720e+12 0.00000e+00 
