3.23353e-02 4.56736e+11  -4.56728e+11 0.00000e+00 
3.24697e-02 4.64412e+11  -4.64404e+11 0.00000e+00 
3.26041e-02 4.72185e+11  -4.72177e+11 0.00000e+00 
3.27385e-02 4.80055e+11  -4.80047e+11 0.00000e+00 
3.28729e-02 4.88023e+11  -4.88014e+11 0.00000e+00 
3.30073e-02 4.96089e+11  -4.96081e+11 0.00000e+00 
3.31417e-02 5.04255e+11  -5.04246e+11 0.00000e+00 
3.32760e-02 5.12521e+11  -5.12512e+11 0.00000e+00 
3.34104e-02 5.20888e+11  -5.20879e+11 0.00000e+00 
3.35447e-02 5.29357e+11  -5.29348e+11 0.00000e+00 
3.36791e-02 5.37929e+11  -5.37920e+11 0.00000e+00 
3.38134e-02 5.46604e+11  -5.46595e+11 0.00000e+00 
3.39478e-02 5.55384e+11  -5.55375e+11 0.00000e+00 
3.40821e-02 5.64268e+11  -5.64260e+11 0.00000e+00 
3.42164e-02 5.73259e+11  -5.73250e+11 0.00000e+00 
3.43507e-02 5.82357e+11  -5.82348e+11 0.00000e+00 
3.44850e-02 5.91563e+11  -5.91553e+11 0.00000e+00 
3.46193e-02 6.00877e+11  -6.00867e+11 0.00000e+00 
3.47536e-02 6.10300e+11  -6.10291e+11 0.00000e+00 
3.48879e-02 6.19834e+11  -6.19824e+11 0.00000e+00 
3.50221e-02 6.29478e+11  -6.29469e+11 0.00000e+00 
3.51564e-02 6.39235e+11  -6.39226e+11 0.00000e+00 
3.52907e-02 6.49105e+11  -6.49095e+11 0.00000e+00 
3.54249e-02 6.59088e+11  -6.59078e+11 0.00000e+00 
3.55592e-02 6.69186e+11  -6.69176e+11 0.00000e+00 
3.56934e-02 6.79399e+11  -6.79389e+11 0.00000e+00 
3.58276e-02 6.89728e+11  -6.89719e+11 0.00000e+00 
3.59619e-02 7.00175e+11  -7.00165e+11 0.00000e+00 
3.60961e-02 7.10740e+11  -7.10730e+11 0.00000e+00 
3.62303e-02 7.21423e+11  -7.21413e+11 0.00000e+00 
3.63645e-02 7.32227e+11  -7.32217e+11 0.00000e+00 
3.64987e-02 7.43151e+11  -7.43141e+11 0.00000e+00 
3.66328e-02 7.54197e+11  -7.54187e+11 0.00000e+00 
3.67670e-02 7.65365e+11  -7.65355e+11 0.00000e+00 
3.69012e-02 7.76657e+11  -7.76646e+11 0.00000e+00 
3.70354e-02 7.88073e+11  -7.88062e+11 0.00000e+00 
3.71695e-02 7.99614e+11  -7.99603e+11 0.00000e+00 
3.73037e-02 8.11281e+11  -8.11271e+11 0.00000e+00 
3.74378e-02 8.23076e+11  -8.23065e+11 0.00000e+00 
3.75719e-02 8.34998e+11  -8.34987e+11 0.00000e+00 
3.77061e-02 8.47049e+11  -8.47038e+11 0.00000e+00 
3.78402e-02 8.59230e+11  -8.59219e+11 0.00000e+00 
3.79743e-02 8.71541e+11  -8.71530e+11 0.00000e+00 
3.81084e-02 8.83985e+11  -8.83973e+11 0.00000e+00 
3.82425e-02 8.96560e+11  -8.96549e+11 0.00000e+00 
3.83766e-02 9.09270e+11  -9.09258e+11 0.00000e+00 
3.85107e-02 9.22113e+11  -9.22102e+11 0.00000e+00 
3.86447e-02 9.35092e+11  -9.35081e+11 0.00000e+00 
3.87788e-02 9.48208e+11  -9.48196e+11 0.00000e+00 
3.89129e-02 9.61460e+11  -9.61449e+11 0.00000e+00 
3.90469e-02 9.74851e+11  -9.74840e+11 0.00000e+00 
3.91810e-02 9.88381e+11  -9.88370e+11 0.00000e+00 
3.93150e-02 1.00205e+12  -1.00204e+12 0.00000e+00 
3.94490e-02 1.01586e+12  -1.01585e+12 0.00000e+00 
3.95831e-02 1.02982e+12  -1.02980e+12 0.00000e+00 
3.97171e-02 1.04391e+12  -1.04390e+12 0.00000e+00 
3.98511e-02 1.05815e+12  -1.05814e+12 0.00000e+00 
3.99851e-02 1.07254e+12  -1.07253e+12 0.00000e+00 
4.01191e-02 1.08707e+12  -1.08706e+12 0.00000e+00 
4.02531e-02 1.10175e+12  -1.10174e+12 0.00000e+00 
4.03871e-02 1.11657e+12  -1.11656e+12 0.00000e+00 
4.05210e-02 1.13155e+12  -1.13154e+12 0.00000e+00 
4.06550e-02 1.14667e+12  -1.14666e+12 0.00000e+00 
4.07890e-02 1.16195e+12  -1.16194e+12 0.00000e+00 
4.09229e-02 1.17738e+12  -1.17736e+12 0.00000e+00 
4.10569e-02 1.19296e+12  -1.19294e+12 0.00000e+00 
4.11908e-02 1.20869e+12  -1.20868e+12 0.00000e+00 
4.13247e-02 1.22458e+12  -1.22457e+12 0.00000e+00 
4.14586e-02 1.24063e+12  -1.24061e+12 0.00000e+00 
4.15926e-02 1.25683e+12  -1.25681e+12 0.00000e+00 
4.17265e-02 1.27319e+12  -1.27317e+12 0.00000e+00 
4.18604e-02 1.28971e+12  -1.28969e+12 0.00000e+00 
4.19943e-02 1.30639e+12  -1.30637e+12 0.00000e+00 
4.21281e-02 1.32323e+12  -1.32321e+12 0.00000e+00 
4.22620e-02 1.34023e+12  -1.34021e+12 0.00000e+00 
4.23959e-02 1.35739e+12  -1.35738e+12 0.00000e+00 
4.25298e-02 1.37472e+12  -1.37471e+12 0.00000e+00 
4.26636e-02 1.39221e+12  -1.39220e+12 0.00000e+00 
4.27975e-02 1.40987e+12  -1.40986e+12 0.00000e+00 
4.29313e-02 1.42770e+12  -1.42769e+12 0.00000e+00 
4.30651e-02 1.44570e+12  -1.44568e+12 0.00000e+00 
4.31990e-02 1.46386e+12  -1.46385e+12 0.00000e+00 
4.33328e-02 1.48220e+12  -1.48218e+12 0.00000e+00 
4.34666e-02 1.50070e+12  -1.50069e+12 0.00000e+00 
4.36004e-02 1.51938e+12  -1.51937e+12 0.00000e+00 
4.37342e-02 1.53824e+12  -1.53822e+12 0.00000e+00 
4.38680e-02 1.55726e+12  -1.55725e+12 0.00000e+00 
4.40018e-02 1.57647e+12  -1.57645e+12 0.00000e+00 
4.41356e-02 1.59584e+12  -1.59583e+12 0.00000e+00 
4.42693e-02 1.61540e+12  -1.61539e+12 0.00000e+00 
4.44031e-02 1.63514e+12  -1.63512e+12 0.00000e+00 
4.45368e-02 1.65505e+12  -1.65504e+12 0.00000e+00 
4.46706e-02 1.67515e+12  -1.67514e+12 0.00000e+00 
4.48043e-02 1.69543e+12  -1.69542e+12 0.00000e+00 
4.49381e-02 1.71589e+12  -1.71588e+12 0.00000e+00 
4.50718e-02 1.73654e+12  -1.73653e+12 0.00000e+00 
4.52055e-02 1.75737e+12  -1.75736e+12 0.00000e+00 
4.53392e-02 1.77839e+12  -1.77838e+12 0.00000e+00 
4.54729e-02 1.79960e+12  -1.79958e+12 0.00000e+00 
4.56066e-02 1.82099e+12  -1.82098e+12 0.00000e+00 
4.57403e-02 1.84258e+12  -1.84256e+12 0.00000e+00 
4.58740e-02 1.86436e+12  -1.86434e+12 0.00000e+00 
4.60077e-02 1.88632e+12  -1.88631e+12 0.00000e+00 
4.61413e-02 1.90849e+12  -1.90847e+12 0.00000e+00 
4.62750e-02 1.93084e+12  -1.93082e+12 0.00000e+00 
4.64086e-02 1.95339e+12  -1.95338e+12 0.00000e+00 
4.65423e-02 1.97614e+12  -1.97612e+12 0.00000e+00 
4.66759e-02 1.99909e+12  -1.99907e+12 0.00000e+00 
4.68096e-02 2.02223e+12  -2.02221e+12 0.00000e+00 
4.69432e-02 2.04558e+12  -2.04556e+12 0.00000e+00 
4.70768e-02 2.06912e+12  -2.06910e+12 0.00000e+00 
4.72104e-02 2.09287e+12  -2.09285e+12 0.00000e+00 
4.73440e-02 2.11682e+12  -2.11680e+12 0.00000e+00 
4.74776e-02 2.14098e+12  -2.14096e+12 0.00000e+00 
4.76112e-02 2.16534e+12  -2.16532e+12 0.00000e+00 
4.77448e-02 2.18991e+12  -2.18989e+12 0.00000e+00 
4.78783e-02 2.21468e+12  -2.21467e+12 0.00000e+00 
4.80119e-02 2.23967e+12  -2.23965e+12 0.00000e+00 
4.81455e-02 2.26487e+12  -2.26485e+12 0.00000e+00 
4.82790e-02 2.29027e+12  -2.29026e+12 0.00000e+00 
4.84126e-02 2.31589e+12  -2.31588e+12 0.00000e+00 
4.85461e-02 2.34173e+12  -2.34171e+12 0.00000e+00 
4.86796e-02 2.36778e+12  -2.36776e+12 0.00000e+00 
4.88131e-02 2.39405e+12  -2.39403e+12 0.00000e+00 
4.89467e-02 2.42053e+12  -2.42051e+12 0.00000e+00 
4.90802e-02 2.44723e+12  -2.44721e+12 0.00000e+00 
4.92137e-02 2.47415e+12  -2.47413e+12 0.00000e+00 
4.93472e-02 2.50130e+12  -2.50128e+12 0.00000e+00 
4.94806e-02 2.52866e+12  -2.52864e+12 0.00000e+00 
4.96141e-02 2.55625e+12  -2.55623e+12 0.00000e+00 
4.97476e-02 2.58407e+12  -2.58405e+12 0.00000e+00 
4.98810e-02 2.61210e+12  -2.61209e+12 0.00000e+00 
5.00145e-02 2.64037e+12  -2.64035e+12 0.00000e+00 
5.01480e-02 2.66887e+12  -2.66885e+12 0.00000e+00 
5.02814e-02 2.69759e+12  -2.69757e+12 0.00000e+00 
5.04148e-02 2.72655e+12  -2.72653e+12 0.00000e+00 
5.05483e-02 2.75573e+12  -2.75571e+12 0.00000e+00 
5.06817e-02 2.78516e+12  -2.78514e+12 0.00000e+00 
